Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
TAMAN PUTERI WANGSA,Ulu Tiram,Johor,Freehold,Terrace House,3,2,450000,294,"1,531",138,71,Moderate,1.80,2.00,1.60,6.30,Medium,3.60,4.02,
TAMAN SERAI RESIDENSI,Padang Serai,Kedah,Freehold,"Terrace House, Semi D",4,4,199800,143,"1,397",136,85,Very Low,15.30,10.40,2.90,6.00,Low,2.55,2.99,
TANJUNG PUTERI RESORT,Pasir Gudang,Johor,Freehold,"Bungalow, Terrace House",5,4,397800,258,"1,542",135,77,Low,1.20,4.40,4.90,2.90,High,2.19,4.07,
BANDAR BARU SETIA AWAN PERDANA,Sitiawan,Perak,Freehold,"Cluster House, Terrace House",4,3,245000,139,"1,763",128,75,Low,41.00,3.50,1.00,2.50,Low,2.48,1.17,
TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,Kluang,Johor,Freehold,Terrace House,3,2,419444,200,"2,097",124,70,Moderate,2.80,4.30,2.00,5.10,Low,3.16,4.00,
BANDAR SERI COALFIELDS,Ijok,Selangor,Freehold,"Terrace House, Cluster House",4,3,913800,432,"2,115",123,77,Low,3.20,1.00,2.50,3.10,Low,3.63,4.73,
TAMAN TASIK UTAMA,Bukit Katil,Melaka,Leasehold,Terrace House,3,2,270000,175,"1,543",123,79,Low,10.60,6.80,1.70,3.20,Low,3.67,2.02,
PULAU INDAH,Klang,Selangor,Freehold,Terrace House,3,2,350000,252,"1,389",122,76,Low,2.30,1.40,0.60,8.60,Medium,3.45,4.23,
TAMAN UNGKU TUN AMINAH,Skudai,Johor,Freehold,Terrace House,3,2,530000,322,"1,646",122,77,Low,5.70,8.50,2.10,1.90,Low,2.97,4.29,
ELMINA WEST,Shah Alam,Selangor,Freehold,Terrace House,3,2,1060888,550,"1,929",120,75,Low,1.00,2.50,2.50,7.60,Low,4.18,3.08,
TAMAN SETIA INDAH,Tebrau,Johor,Freehold,Terrace House,3,2,610000,382,"1,597",118,78,Low,22.00,1.40,0.50,6.50,Low,4.08,2.66,
SEKSYEN 29 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,3,2,472800,309,"1,530",118,69,Moderate,4.20,2.30,0.90,1.60,Low,2.71,3.36,
TAMAN BANANG JAYA,Batu Pahat,Johor,Freehold,Terrace House,3,2,618500,388,"1,594",118,74,Moderate,17.80,3.30,3.40,14.10,Low,3.44,2.89,
TAMAN SAUJANA,Kluang,Johor,Freehold,Terrace House,3,2,150000,107,"1,402",117,75,Low,14.50,3.50,1.60,1.90,Low,4.03,4.99,
Flat Taman Ungku Tun Aminah,Skudai,Johor,Freehold,Flat,2,1,140000,283,495,117,75,Low,6.50,3.40,1.20,5.20,Low,4.70,3.88,
MERIDIN EAST,Pasir Gudang,Johor,Freehold,Terrace House,3,2,580000,414,"1,401",115,70,Moderate,16.30,2.50,0.90,1.90,Low,4.15,4.99,
TAMAN SKUDAI BARU,Skudai,Johor,Freehold,Terrace House,3,2,435000,325,"1,338",114,76,Low,1.60,2.10,0.70,2.30,Low,3.15,4.61,
TAMAN MUTIARA BESTARI,Skudai,Johor,Freehold,"Cluster House, Semi D",4,4,1114310,483,"2,307",114,71,Moderate,2.30,14.10,1.40,4.50,Low,3.30,4.26,
BUKIT BERUNTUNG,Serendah,Selangor,Freehold,Terrace House,3,2,300000,222,"1,351",113,75,Low,0.60,7.20,8.60,5.00,Medium,2.76,3.89,
TAMAN RINTING,Masai,Johor,Freehold,Terrace House,3,2,430000,279,"1,541",111,77,Low,3.40,6.00,1.10,3.00,High,2.18,3.57,
SETIA TROPIKA,Tampoi,Johor,Freehold,"Cluster House, Terrace House",4,3,911890,435,"2,096",110,80,Low,4.00,2.50,2.20,6.10,Low,3.60,5.36,
CALEDONIA,Ijok,Selangor,Freehold,Terrace House,3,2,509800,392,"1,301",109,75,Low,1.30,2.10,0.70,5.50,High,4.22,4.17,
ALAM NUSANTARA,Setia Alam,Selangor,Freehold,Terrace House,3,2,872999,496,"1,760",109,71,Moderate,4.90,1.40,1.80,6.20,High,3.40,3.06,
TAMAN SCIENTEX KOTA TINGGI,Kota Tinggi,Johor,Leasehold,Terrace House,3,2,80000,104,769,105,80,Low,3.60,4.60,2.60,9.70,Low,3.60,2.71,
LAMAN ASPIRASI (BANTING),Banting,Selangor,Freehold,"Semi D, Terrace House",4,4,180000,129,"1,395",104,71,Moderate,1.30,3.10,2.50,5.40,High,2.65,4.51,
BANDAR MAHKOTA CHERAS,Cheras,Selangor,Freehold,"Terrace House, Semi D, Town House",4,4,640000,422,"1,517",103,70,Moderate,2.50,1.60,0.50,2.80,Low,2.71,2.65,
PRIMA @ SITIAWAN,Sitiawan,Perak,Freehold,Terrace House,3,2,270610,193,"1,402",102,81,Low,7.30,5.30,1.90,9.10,Medium,3.91,1.78,
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),Tanjong Duabelas,Selangor,Freehold,Terrace House,3,2,400000,258,"1,550",102,71,Moderate,4.60,1.70,0.70,14.70,Medium,2.15,2.72,
OUG Parklane,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,3,2,580000,611,949,102,63,Moderate,0.70,1.30,1.50,5.00,Medium,2.58,3.03,
ALAM IMPIAN,Shah Alam,Selangor,Freehold,Terrace House,3,2,887800,488,"1,819",99,72,Moderate,11.30,3.30,0.60,1.70,High,3.78,3.47,
Dorsett Residences Bukit Bintang,Bukit Bintang,Kuala Lumpur,Freehold,Service Residence,3,2,1482000,"1,664",891,94,71,Moderate,4.20,1.30,1.80,4.60,Low,3.85,3.02,
BANDAR TASIK PUTERI,Rawang,Selangor,Leasehold,Terrace House,3,2,400000,281,"1,423",93,69,Moderate,1.10,1.80,2.00,8.40,Low,3.13,4.56,
BANDAR UTAMA,Bandar Utama,Selangor,Freehold,Terrace House,3,2,1510000,849,"1,779",92,72,Moderate,0.50,1.10,1.50,6.20,Low,3.50,4.30,
PERWIRA SERI ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,3,2,145000,104,"1,394",92,73,Moderate,30.30,4.40,1.10,5.30,Low,4.13,1.57,
TAMAN AUSTIN DUTA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,781000,493,"1,584",92,77,Low,8.40,7.80,3.00,5.00,Low,3.14,5.15,
TAMAN PULAI INDAH,Skudai,Johor,Freehold,"Terrace House, Cluster House",4,3,460000,321,"1,433",92,75,Low,8.80,4.90,1.20,5.60,Medium,2.18,2.67,
BANDAR BARU LAPANGAN,Ipoh,Perak,Leasehold,Terrace House,3,2,588800,369,"1,596",91,75,Low,27.10,5.40,0.80,6.30,Low,2.54,2.58,
TAMAN PUTERIMAS (KLUANG),Kluang,Johor,Freehold,Terrace House,3,2,250750,119,"2,107",89,72,Moderate,1.50,3.40,1.20,11.20,Medium,2.60,3.07,
D'ART HILLS RESIDENCE,Senai,Johor,Freehold,Terrace House,3,2,839000,591,"1,420",89,76,Low,3.70,1.10,1.10,1.70,Low,3.06,4.34,
TAMAN DESA BERTAM,Tanjong Minyak,Melaka,Freehold,"Semi D, Cluster House",4,4,453000,185,"2,449",89,82,Low,6.80,7.90,2.30,3.10,Medium,2.57,1.75,
TAMAN REM,Kota Tinggi,Johor,Leasehold,Terrace House,3,2,246600,160,"1,541",89,80,Low,12.90,4.40,1.30,7.10,Low,3.41,5.34,
TAMAN PULAI MUTIARA 2,Skudai,Johor,Freehold,"Terrace House, Cluster House",4,3,564230,252,"2,239",88,74,Moderate,6.90,2.80,1.30,12.40,Low,3.55,4.85,
KOTA BAYUEMAS,Klang,Selangor,Freehold,"Terrace House, Semi D",4,4,804000,446,"1,803",88,68,Moderate,1.50,1.90,0.70,5.00,Medium,2.84,3.32,
TAMAN KOTA IMPIAN @ IMPIAN HILLS,Kota Tinggi,Johor,Freehold,Terrace House,3,2,713000,405,"1,760",87,79,Low,1.40,11.50,1.20,1.80,Low,3.04,4.92,
EKA HEIGHTS - PRECINCT 3B,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,400000,267,"1,498",87,80,Low,10.60,4.70,1.60,2.20,Low,3.05,3.12,
BANDAR SPRINGHILL,Jimah,Negeri Sembilan,Freehold,Terrace House,3,2,220000,179,"1,229",86,81,Low,10.90,6.70,9.60,3.90,Low,4.27,1.18,
TAMAN HIJAUAN VALDOR,Sungai Bakap,Penang,Freehold,"Terrace House, Semi D",4,4,675000,241,"2,801",85,74,Moderate,8.80,2.30,1.30,2.00,Low,2.10,2.95,
TAMAN SRI GOMBAK,Batu Caves,Selangor,Freehold,Terrace House,3,2,450000,556,809,85,70,Moderate,3.00,7.40,1.30,3.50,Low,2.88,2.89,
Flora Damansara Apartment,Damansara Perdana,Selangor,Leasehold,Apartment,3,2,380000,447,850,85,75,Low,6.00,4.20,1.40,5.70,Low,5.20,2.57,
TAMAN KOTA SRI AHMAD SHAH,Kuantan,Pahang,Leasehold,Terrace House,3,2,582222,334,"1,743",84,85,Very Low,14.60,3.70,3.00,12.80,Low,2.73,1.46,
TAMAN MESRA IMPIAN,Kampar,Perak,Leasehold,Terrace House,3,2,300000,214,"1,402",83,76,Low,6.90,6.60,5.10,2.20,Low,4.14,2.67,
S2 HEIGHTS,Seremban 2,Negeri Sembilan,Freehold,Terrace House,3,2,775800,464,"1,672",83,82,Low,23.70,5.40,1.90,5.00,Low,4.10,3.43,
TAMAN SERI MAHKOTA,Sitiawan,Perak,Freehold,Terrace House,3,2,250000,179,"1,397",82,81,Low,26.50,5.00,1.10,2.00,Low,3.14,1.59,
TAMAN KINDING AKASIA,Ipoh,Perak,Leasehold,Terrace House,3,2,260000,186,"1,398",82,76,Low,17.40,5.00,0.80,6.80,Low,2.45,1.56,
TAMAN SHOREA HARTAMAS,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,3,2,250000,183,"1,366",82,83,Low,27.10,4.20,0.60,4.70,Low,3.63,1.10,
PRIMA D'MARINA,Kuantan,Pahang,Leasehold,Terrace House,3,2,431167,271,"1,591",82,79,Low,15.20,6.20,3.60,4.90,Low,2.12,2.52,
BUKIT JELUTONG,Shah Alam,Selangor,Freehold,"Semi D, Terrace House, Bungalow",6,5,980000,437,"2,243",81,69,Moderate,2.30,2.30,2.90,4.60,Low,3.48,4.50,
BERIS MERAGA,Kijal,Terengganu,Freehold,"Semi D, Terrace House",4,4,320000,126,"2,540",81,85,Very Low,13.40,3.70,1.80,11.00,Medium,2.86,3.01,
BAYU SUTERA - PRECINCT 3B,Jimah,Negeri Sembilan,Freehold,Terrace House,3,2,675888,483,"1,399",80,81,Low,5.40,5.00,1.00,2.10,Low,3.23,1.26,
BANDAR IOI,Segamat,Johor,Freehold,Terrace House,3,2,349350,208,"1,680",80,71,Moderate,1.70,1.50,1.40,5.10,Low,3.83,5.36,
BANDAR COUNTRY HOMES,Rawang,Selangor,Freehold,"Terrace House, Semi D",4,4,420000,313,"1,342",79,76,Low,0.60,1.30,4.70,7.10,Low,2.14,3.67,
Setia Sky 88,Johor Bahru,Johor,Freehold,Service Residence,3,2,1386800,"1,270","1,092",79,72,Moderate,7.10,3.70,3.10,1.80,High,3.12,2.94,
PER. PERMATANG BADAK PERDANA (PL 177521),Kuantan,Pahang,Leasehold,Terrace House,3,2,325000,232,"1,401",78,84,Low,10.70,5.40,2.00,8.60,Low,4.00,1.71,
EKA HEIGHTS - PRECINCT 3A,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,380000,267,"1,423",78,74,Moderate,15.70,8.10,1.00,12.80,High,3.80,2.68,
TAMAN PUTRI KULAI,Kulai,Johor,Freehold,Terrace House,3,2,450000,292,"1,541",78,78,Low,15.30,1.40,3.60,15.70,Low,3.38,3.08,
TAMAN CENTURY,Johor Bahru,Johor,Freehold,"Terrace House, Semi D",4,4,609000,327,"1,862",78,78,Low,2.70,1.60,2.40,1.70,Low,2.51,2.64,
BANDAR BARU UDA,Johor Bahru,Johor,"Leasehold, Freehold",Terrace House,3,2,500000,279,"1,792",78,78,Low,4.20,2.60,1.60,5.00,Low,2.55,3.54,
BANDAR SAUJANA PUTRA,Tanjong Duabelas,Selangor,Leasehold,Terrace House,3,2,450000,339,"1,327",78,74,Moderate,4.00,9.20,2.20,4.10,Low,3.92,3.60,
TAMAN PUNCAK JALIL,Seri Kembangan,Selangor,Leasehold,Terrace House,3,2,580000,400,"1,450",78,72,Moderate,1.10,6.00,5.00,1.60,High,3.74,3.82,
TAMAN NADA EMBUN,Rantau,Negeri Sembilan,Freehold,Terrace House,3,2,522000,368,"1,418",77,81,Low,6.20,15.60,0.60,8.20,Medium,3.81,3.44,
RESIDENSI MESRA,Gurun,Kedah,Freehold,Terrace House,3,2,232000,141,"1,645",76,80,Low,10.10,4.50,0.70,3.80,Medium,2.55,3.16,
TAMAN MEGAH RIA,Masai,Johor,Freehold,"Terrace House, Semi D",4,4,436440,320,"1,364",76,78,Low,2.10,4.10,1.20,1.70,Low,3.43,4.95,
TAMAN SAFFRON,Serendah,Selangor,Freehold,Terrace House,3,2,437100,357,"1,224",75,73,Moderate,7.10,3.70,4.00,3.40,Medium,3.50,3.77,
SERENIA CITY,Dengkil,Selangor,Freehold,Terrace House,3,2,828888,532,"1,558",75,72,Moderate,4.60,1.70,1.40,1.70,Low,2.52,2.71,
PUTRA HEIGHTS,Subang Jaya,Selangor,Freehold,Terrace House,3,2,855000,448,"1,908",75,72,Moderate,3.00,6.20,3.10,5.00,Low,3.23,5.47,
TAMAN AROWANA,Sungai Petani,Kedah,Freehold,Terrace House,3,2,276800,230,"1,203",74,83,Low,35.80,4.80,2.90,4.70,Low,3.70,1.82,
KOTA KEMUNING,Shah Alam,Selangor,Freehold,Terrace House,3,2,844000,417,"2,024",74,67,Moderate,4.60,6.20,2.00,7.60,Low,3.90,4.81,
BANDAR PUTERI KLANG,Klang,Selangor,Freehold,Terrace House,3,2,682500,434,"1,573",74,68,Moderate,1.00,3.70,1.30,14.20,Medium,2.65,2.54,
BANDAR PUCHONG JAYA,Puchong,Selangor,Freehold,Terrace House,3,2,725000,513,"1,413",74,69,Moderate,6.10,3.30,1.90,2.50,Medium,2.27,5.13,
TAMAN PONDEROSA,Johor Bahru,Johor,Freehold,Semi D,4,4,1110900,535,"2,076",74,71,Moderate,5.70,3.90,1.80,2.30,Low,3.92,3.39,
TAMAN DESA JAYA,Johor Bahru,Johor,Freehold,Terrace House,3,2,440000,338,"1,302",73,74,Moderate,10.90,1.20,1.90,7.30,Low,2.66,4.88,
LAMAN SETIA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,650000,389,"1,671",73,77,Low,14.60,3.20,0.90,5.90,Low,4.16,4.84,
TAMAN PELANGI INDAH,Ulu Tiram,Johor,Freehold,"Terrace House, Semi D",4,4,600000,308,"1,948",73,77,Low,3.30,1.30,1.40,2.20,Low,3.39,3.23,
TAMAN PUTERI,Padang Serai,Kedah,Freehold,Terrace House,3,2,204000,159,"1,283",72,82,Low,6.70,4.10,0.80,3.50,Medium,3.21,1.58,
TAMAN SENGKANG,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,3,2,279000,192,"1,453",72,83,Low,8.90,3.70,1.30,4.40,Low,3.86,1.97,
Mkh Boulevard,Kajang,Selangor,Leasehold,Service Residence,3,2,299000,503,594,72,73,Moderate,1.90,3.00,1.20,8.80,Low,3.92,3.64,
LA CASA LUNAS,Lunas,Kedah,Freehold,Semi D,4,4,516888,227,"2,277",71,77,Low,30.60,4.00,1.60,1.80,Low,3.90,1.83,
TAMAN RAIA UTAMA,Gopeng,Perak,Freehold,Terrace House,3,2,268000,192,"1,396",71,80,Low,34.60,3.70,1.80,4.80,Low,3.01,2.54,
MEKARSARI UNGGUL (FASA III),Kepala Batas,Penang,Freehold,Terrace House,3,2,613000,366,"1,675",71,79,Low,1.00,7.30,1.70,14.40,Low,2.16,5.34,
PUNCAK ALAM,Bandar Puncak Alam,Selangor,Leasehold,"Cluster House, Terrace House",4,3,400000,288,"1,389",71,73,Moderate,2.30,1.10,0.70,1.70,Medium,3.32,4.02,
Palmyra Residences,Bangi,Selangor,Freehold,Service Residence,3,2,432000,508,850,71,73,Moderate,1.90,1.60,1.70,5.60,Low,3.93,5.10,
TAMAN SERI AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,719000,464,"1,550",70,76,Low,2.50,1.10,4.90,8.90,Low,3.20,5.28,
BANDAR SRI ASTANA,Sungai Petani,Kedah,Freehold,Terrace House,3,2,260000,177,"1,469",70,77,Low,6.90,4.60,0.60,2.20,Low,2.15,1.28,
BANDAR BARU SRI DAMANSARA,Bandar Sri Damansara,Selangor,Freehold,Terrace House,3,2,894000,564,"1,585",70,73,Moderate,1.50,1.40,0.70,4.40,High,3.37,3.56,
TAMAN DESA CEMERLANG,Ulu Tiram,Johor,Freehold,Terrace House,3,2,495000,357,"1,387",70,78,Low,18.20,1.80,1.20,19.70,Low,3.07,3.48,
BANDAR DAMAI PERDANA,Cheras,Selangor,Freehold,Terrace House,3,2,775000,543,"1,427",70,70,Moderate,1.50,4.50,5.00,2.10,Low,2.93,4.97,
SERELYN AVENUE,Kuantan,Pahang,Leasehold,Terrace House,3,2,388000,231,"1,680",69,82,Low,16.00,4.90,1.70,1.80,Medium,3.36,3.49,
TAMAN PELANGI,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",4,4,750000,325,"2,308",69,70,Moderate,8.30,1.00,2.20,5.60,Low,3.81,3.32,
TAMAN SETIA MUTIARA,Kluang,Johor,Freehold,"Terrace House, Semi D",4,4,150000,107,"1,402",69,73,Moderate,3.70,2.60,1.50,3.60,Low,2.61,3.51,
BANDAR CEMERLANG,Tebrau,Johor,Freehold,"Cluster House, Semi D",4,4,828000,345,"2,400",69,74,Moderate,22.40,1.10,1.10,2.30,Medium,3.94,2.58,
SETIA IMPIAN 3,Setia Alam,Selangor,Freehold,"Terrace House, Semi D",4,4,930000,584,"1,592",69,77,Low,8.70,1.30,5.20,5.20,Low,2.53,5.21,
ECO BOTANIC,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,1260000,580,"2,172",68,72,Moderate,2.70,4.90,1.10,3.50,Medium,3.47,3.18,
TAMAN PULAI MUTIARA,Skudai,Johor,Freehold,"Terrace House, Cluster House",4,3,550000,426,"1,291",68,73,Moderate,5.10,1.80,0.70,2.30,Low,2.50,5.09,
GOODVIEW HEIGHTS,Kajang,Selangor,Freehold,"Terrace House, Town House",3,2,768800,542,"1,418",67,71,Moderate,1.40,5.80,2.20,4.70,Low,4.06,3.27,
TAMAN KERSANI,Kuala Pilah,Negeri Sembilan,Freehold,Terrace House,3,2,298000,192,"1,552",67,84,Low,10.00,5.40,4.30,1.80,Low,2.97,3.09,
IRAMA SENDAYAN 2C,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,584999,417,"1,403",67,83,Low,5.60,4.50,1.10,7.60,Medium,3.77,3.03,
BANDAR SERI BOTANI,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D",4,4,496800,344,"1,444",67,72,Moderate,19.10,18.20,0.90,9.80,Low,3.19,3.28,
TAMAN KLANG UTAMA,Kapar,Selangor,Freehold,Terrace House,3,2,427500,403,"1,061",66,69,Moderate,2.20,6.30,0.90,3.50,Low,2.75,2.97,
TAMAN DESA PD,Linggi,Negeri Sembilan,Freehold,Terrace House,3,2,180000,131,"1,374",66,83,Low,5.80,5.10,6.20,2.30,Low,3.63,2.35,
Mentari Court,Bandar Sunway,Selangor,Leasehold,Apartment,3,2,400000,516,775,66,67,Moderate,1.30,5.80,1.10,6.80,Low,5.17,2.74,
TAMAN BENTARA,Telok Panglima Garang,Selangor,Leasehold,Terrace House,3,2,455000,287,"1,585",65,76,Low,6.50,2.60,1.80,8.60,Low,3.94,3.38,
